url_or_email,source,date_collected
http://secure-login.paypal-update.com,honeypot_a,2026-05-10
http://my-bank.verify-acc.net,user_report,2026-05-11
amazon-support@secure-update.info,honeypot_b,2026-05-12
http://netflix-billing.update-cc.com/login,honeypot_a,2026-05-13
apple-id@verify-icloud.net,user_report,2026-05-14
http://login.microsoftonline.com.secure-auth.org,honeypot_a,2026-05-15
http://chase-bank.security-alert-msg.com,honeypot_b,2026-05-16
admin@facebook-security.info,user_report,2026-05-17
http://dhl-package.tracking-info-deliver.com,honeypot_a,2026-05-18
http://webmail.company.com.login-portal.net,honeypot_b,2026-05-19
http://example.com,feed_x,2026-05-20
http://google.com,feed_x,2026-05-21
contact@wikipedia.org,feed_y,2026-05-22
http://github.com/about,feed_x,2026-05-23
hello@mozilla.org,feed_y,2026-05-24
http://tinyurl.com/fake-random-123,twitter_feed,2026-05-25
http://bit.ly/suspicious-link-456,twitter_feed,2026-05-26
info@unknown-domain-xyz.com,feed_z,2026-05-27
http://login-page.test,sandbox,2026-05-28
http://test.local/admin,sandbox,2026-05-29
http://download-free.movies.com/setup.exe,honeypot_c,2026-05-30
http://pdf-viewer.com/invoice.pdf.exe,honeypot_c,2026-05-31
update@adobe-flash-player.net,user_report,2026-06-01
http://android-app.store/cleaner.apk,honeypot_c,2026-06-02
http://windows-update.com.malware-drop.net/payload.dll,honeypot_c,2026-06-03
